time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
7091.988714	4.916998	3.882931	1.266311	12
7092.998414	5.144968	3.867163	1.330424	13
7094.001171	5.575289	3.900745	1.429288	14
7095.012860	6.022007	3.903445	1.542742	15
7096.020180	6.036172	3.916754	1.541116	16
7097.028089	5.953444	3.854568	1.544517	17
7098.036485	5.544498	3.911214	1.417590	18
7099.044870	5.484448	3.915891	1.400562	19
7100.055027	5.107037	3.852499	1.325643	20
7101.060561	5.327234	3.904253	1.364470	21
7102.074587	5.342632	3.914324	1.364893	22
7103.080955	5.536849	3.844965	1.440026	23
7104.093924	5.665885	3.846017	1.473183	24
7105.096912	5.908360	3.851196	1.534162	25
7106.106865	5.825460	3.858145	1.509912	26
7107.110855	6.077189	3.863462	1.572991	27
7108.120805	5.859836	3.881590	1.509649	28
7109.124433	5.955470	3.913919	1.521613	29
7110.139075	5.655210	3.892547	1.452831	30
7111.144348	5.876521	3.902766	1.505733	31
7112.158924	5.993674	3.897778	1.537716	32
7113.164237	6.071798	3.868870	1.569398	33
7114.174271	6.295250	3.909944	1.610062	34
7115.178460	6.242653	3.919707	1.592633	35
7116.188931	6.121047	3.908092	1.566249	36
7117.196947	5.828985	3.903603	1.493232	37
7118.205333	5.713595	3.929473	1.454036	38
7119.216060	5.355384	3.853517	1.389739	39
7120.222172	5.553737	3.845904	1.444065	40
7121.233987	5.677640	3.911925	1.451367	41
7122.246380	5.980217	3.914132	1.527853	42
7123.262670	5.820335	3.892367	1.495320	43
7124.255586	5.899360	3.897857	1.513488	44
7125.274623	5.347822	3.911120	1.367338	45
7126.277869	5.343995	3.913251	1.365615	46
7127.295013	5.009616	3.855850	1.299225	47
7128.293716	5.370919	3.906171	1.374983	48
7129.310096	5.410622	3.903249	1.386184	49
7130.309208	5.570263	3.906760	1.425801	50
7131.325862	5.639964	3.905134	1.444243	51
7132.325892	5.752098	3.904149	1.473329	52
7133.346756	5.564542	3.916522	1.420787	53
7134.346779	5.635307	3.907778	1.442075	54
7135.364970	5.771175	3.909677	1.476126	55
7136.363880	5.686943	3.852000	1.476361	56
7137.388239	6.018916	3.903384	1.541974	57
7138.377049	5.875838	3.837380	1.531211	58
7139.393599	5.934180	3.841185	1.544883	59
7140.392987	6.112279	3.903083	1.566013	60
7141.412268	5.997640	3.901899	1.537108	61
7142.421243	6.155275	3.913272	1.572923	62
7143.430677	6.155360	3.868243	1.591255	63
7144.430334	6.148448	3.847899	1.597872	64
7145.446623	6.164981	3.825310	1.611629	65
7146.444923	6.328467	3.911783	1.617796	66
7147.461592	6.412004	3.913782	1.638314	67
7148.460458	6.308575	3.875202	1.627934	68
7149.479071	6.499061	3.890323	1.670571	69
7150.479161	6.412384	3.844903	1.667762	70
7151.499030	6.389040	3.827878	1.669082	71
7152.499084	6.449553	3.854858	1.673097	72
7153.518351	6.639542	3.916615	1.695225	73
7154.518934	6.662698	3.905386	1.706028	74
7155.535063	6.672627	3.908645	1.707146	75
7156.535890	6.603368	3.883964	1.700162	76
7157.551755	6.641527	3.876216	1.713405	77
7158.555959	6.468285	3.900336	1.658392	78
7159.573195	6.270226	3.895743	1.609507	79
7160.577289	6.251918	3.909114	1.599318	80
7161.592680	5.997350	3.884222	1.544029	81
7162.598428	5.819524	3.807343	1.528500	82
7163.610987	5.759198	3.867538	1.489112	83
7164.616842	5.787177	3.911229	1.479632	84
7165.629228	5.584788	3.837865	1.455181	85
7166.634706	5.585918	3.841117	1.454243	86
7167.646134	5.537123	3.904722	1.418058	87
7168.653112	5.323446	3.872279	1.374758	88
7169.663185	5.333797	3.903547	1.366397	89
