time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
10033.480857	6.536562	8.933656	0.731678	104
10034.492669	7.442290	8.940784	0.832398	105
10035.500846	7.544011	8.914591	0.846254	106
10036.514669	8.031008	8.941642	0.898158	107
10037.534604	7.374780	8.940572	0.824867	108
10038.529634	7.424257	8.934739	0.830943	109
10039.539192	6.605656	8.941949	0.738727	110
10040.545406	7.057789	8.922701	0.790993	111
10041.554788	6.699855	8.909816	0.751963	112
10042.560759	7.703318	8.886812	0.866826	113
10043.578707	7.533701	8.939429	0.842750	114
10044.583829	8.521884	8.912074	0.956218	115
10045.600512	7.987399	8.948526	0.892594	116
10046.603390	8.579048	8.932661	0.960414	117
10047.613011	7.932302	8.943323	0.886952	118
10048.619730	8.322616	8.926963	0.932301	119
10049.627335	7.776048	8.927905	0.870982	120
10050.633507	8.252723	8.911872	0.926037	121
10051.643389	7.679434	8.918180	0.861099	122
10052.656103	7.843172	8.936838	0.877623	123
10053.662211	7.711763	8.933013	0.863288	124
10054.678360	7.761826	8.924625	0.869709	125
10055.682903	7.319502	8.929983	0.819655	126
10056.704367	6.525447	8.912268	0.732187	127
10057.706029	6.638584	8.938845	0.742667	128
10058.726836	6.775797	8.916126	0.759949	129
10059.728422	7.199062	8.932177	0.805970	130
10060.747519	7.513261	8.921492	0.842153	131
10061.745654	8.099941	8.911023	0.908980	132
10062.762099	8.040767	8.908154	0.902630	133
10063.766013	8.216534	8.929433	0.920163	134
10064.788331	8.469284	8.935936	0.947778	135
10065.785597	7.992902	8.886106	0.899483	136
10066.793989	7.867509	8.931623	0.880860	137
10067.807048	7.266129	8.937686	0.812977	138
10068.815048	7.362010	8.933492	0.824091	139
10069.829876	7.158630	8.927191	0.801891	140
10070.834568	7.768258	8.918684	0.871009	141
10071.850087	7.586621	8.937914	0.848813	142
10072.864667	8.571128	8.925318	0.960316	143
10073.869688	7.873945	8.930063	0.881735	144
10074.871934	8.789334	8.909909	0.986467	145
10075.889729	8.402912	8.923157	0.941697	146
10076.891961	9.496523	8.924746	1.064067	147
10077.907229	8.792360	8.926840	0.984935	148
10078.906931	10.003624	8.904692	1.123411	149
10079.921682	9.233352	8.933641	1.033549	150
10080.925264	10.209935	8.905321	1.146498	151
10081.939096	9.422451	8.928031	1.055378	152
10082.942017	10.597752	8.944338	1.184856	153
10083.959788	10.240085	8.932135	1.146432	154
10084.964139	11.076525	8.916946	1.242188	155
10085.985955	10.322412	8.926066	1.156435	156
10086.987076	11.226849	8.909614	1.260083	157
10088.009409	10.451852	8.935934	1.169643	158
10089.012197	11.280329	8.923805	1.264072	159
10090.034400	10.011684	8.945305	1.119211	160
10091.038286	10.407907	8.929668	1.165542	161
10092.062254	8.543152	8.948725	0.954678	162
10093.072341	9.571976	8.911352	1.074133	163
10094.081160	7.855795	8.930396	0.879669	164
10095.088019	7.133573	8.898213	0.801686	165
10096.096465	6.858798	8.925282	0.768468	166
10097.106033	5.864302	8.907563	0.658351	167
10098.104695	6.612291	8.932642	0.740239	168
10099.119699	5.734564	8.900295	0.644312	169
10100.115343	7.833832	8.905855	0.879627	170
10101.130641	7.166985	8.948454	0.800919	171
10102.130078	8.683572	8.909009	0.974696	172
10103.148408	8.155078	8.927293	0.913500	173
10104.152786	8.572052	8.936328	0.959237	174
10105.170927	7.709734	8.924664	0.863868	175
10106.176930	7.701095	8.928439	0.862535	176
10107.192054	7.270402	8.898467	0.817040	177
10108.196254	7.651733	8.932049	0.856660	178
10109.207098	7.804078	8.893954	0.877459	179
10110.218016	7.616809	8.936678	0.852309	180
10111.226644	7.758430	8.908866	0.870866	181
10112.236891	6.969975	8.940740	0.779575	182
10113.244091	7.329365	8.933958	0.820394	183
10114.254045	6.740205	8.908241	0.756626	184
10115.259674	7.179025	8.939575	0.803061	185
10116.271638	6.660653	8.936059	0.745368	186
10117.278304	7.660981	8.930520	0.857843	187
10118.290342	7.348768	8.901517	0.825564	188
10119.297939	8.137511	8.927280	0.911533	189
10120.309815	7.417634	8.907428	0.832747	190
10121.318099	8.131867	8.900509	0.913641	191
10122.325167	7.690188	8.911774	0.862925	192
10123.334782	8.269175	8.928452	0.926160	193
10124.355455	7.956965	8.925038	0.891533	194
10125.354730	8.191903	8.928670	0.917483	195
10126.362133	7.867776	8.929058	0.881143	196
10127.376183	8.527381	8.921598	0.955813	197
10128.381631	8.476808	8.928749	0.949384	198
10129.395720	8.553545	8.896929	0.961404	199
10130.398598	9.127810	8.928475	1.022326	200
10131.416271	9.081393	8.927953	1.017187	201
10132.417747	9.761767	8.935677	1.092449	202
10133.430937	9.703439	8.912894	1.088697	203
10134.433234	10.126523	8.911672	1.136321	204
10135.445353	10.206925	8.908196	1.145790	205
10136.446899	10.185503	8.917256	1.142224	206
10137.457643	9.991264	8.880157	1.125122	207
10138.463384	9.462787	8.907911	1.062290	208
10139.474057	9.138645	8.920341	1.024473	209
10140.485267	8.422824	8.908460	0.945486	210
10141.492208	8.664106	8.949533	0.968107	211
10142.507467	7.778129	8.937896	0.870242	212
10143.513710	7.831928	8.911843	0.878823	213
10144.529288	7.093365	8.911763	0.795955	214
10145.533944	7.752947	8.929617	0.868228	215
10146.551166	6.809765	8.927808	0.762759	216
10147.554225	8.040030	8.921890	0.901158	217
10148.571790	7.280554	8.945029	0.813922	218
10149.574462	8.300323	8.937255	0.928733	219
10150.591872	7.725245	8.916308	0.866418	220
10151.593408	8.797304	8.874909	0.991256	221
10152.609202	8.243898	8.938446	0.922297	222
10153.612501	9.356827	8.921446	1.048802	223
10154.629446	8.825162	8.935057	0.987701	224
10155.629363	9.900907	8.905210	1.111811	225
10156.649164	8.921581	8.937196	0.998253	226
10157.650966	9.663230	8.920790	1.083226	227
10158.669113	8.783545	8.902053	0.986688	228
10159.672578	9.604517	8.917521	1.077039	229
10160.689391	8.970976	8.907430	1.007134	230
10161.694111	9.626301	8.934960	1.077375	231
10162.710579	8.714491	8.931377	0.975716	232
10163.715130	9.066366	8.884613	1.020457	233
10164.729374	8.247977	8.881398	0.928680	234
10165.736589	7.935463	8.928156	0.888813	235
10166.745550	7.748800	8.916509	0.869040	236
10167.753980	7.290040	8.925611	0.816755	237
10168.760864	7.019683	8.916628	0.787258	238
10169.771255	6.689696	8.943789	0.747971	239
10170.774281	7.137782	8.926501	0.799617	240
10171.786725	7.173009	8.921833	0.803984	241
10172.789425	7.512104	8.942317	0.840062	242
10173.814641	8.257586	8.931884	0.924507	243
10174.804560	8.327861	8.943454	0.931168	244
10175.824092	8.060993	8.883302	0.907432	245
10176.824946	8.496625	8.907674	0.953855	246
10177.841993	8.375521	8.922471	0.938700	247
10178.846080	8.533937	8.930145	0.955633	248
10179.859659	8.663182	8.931770	0.969929	249
10180.867890	8.312635	8.896008	0.934423	250
10181.880158	8.576824	8.910731	0.962528	251
10182.886793	8.414207	8.911671	0.944178	252
10183.898887	8.399006	8.945963	0.938860	253
10184.907478	7.715335	8.881516	0.868696	254
10185.914047	8.427740	8.911944	0.945668	255
10186.924044	7.789269	8.912658	0.873956	0
10187.931263	8.652803	8.929802	0.968980	1
10188.942408	7.914382	8.937634	0.885512	2
10189.952009	8.411935	8.930686	0.941914	3
10190.959963	8.125420	8.905843	0.912370	4
10191.969810	8.664770	8.911216	0.972344	5
10192.978791	7.916082	8.913091	0.888141	6
10193.989147	8.648394	8.933267	0.968111	7
10194.997299	7.948575	8.912906	0.891805	8
10196.008456	8.430716	8.932067	0.943871	9
10197.013987	8.275337	8.934810	0.926191	10
10198.025091	8.847881	8.936821	0.990048	11
10199.033668	8.573418	8.904659	0.962801	12
10200.045159	8.915347	8.900833	1.001631	13
10201.050151	9.309528	8.944659	1.040792	14
10202.065607	9.153789	8.927629	1.025333	15
10203.067743	9.728312	8.925159	1.089988	16
10204.081503	10.075457	8.905272	1.131404	17
10205.083794	10.138786	8.933555	1.134911	18
10206.098066	10.426269	8.910172	1.170153	19
10207.100273	10.570728	8.932417	1.183412	20
10208.112633	10.912111	8.928239	1.222202	21
10209.116040	10.432652	8.932716	1.167915	22
10210.127730	10.327467	8.903234	1.159968	23
10211.133187	9.970611	8.922463	1.117473	24
10212.144853	9.742528	8.919587	1.092262	25
10213.154480	9.108843	8.921950	1.020948	26
10214.161697	8.932555	8.911957	1.002311	27
10215.174423	8.616796	8.905585	0.967572	28
10216.181713	8.376310	8.924451	0.938580	29
10217.194445	8.047873	8.915048	0.902729	30
10218.200736	8.102921	8.913011	0.909112	31
10219.214683	7.652280	8.909860	0.858855	32
10220.221341	8.167048	8.911676	0.916444	33
10221.235399	7.558966	8.932218	0.846259	34
10222.239092	8.306233	8.922799	0.930900	35
10223.254700	7.869658	8.937968	0.880475	36
10224.269237	9.340275	8.904902	1.048891	37
10225.271817	8.338165	8.924790	0.934270	38
10226.277823	8.778311	8.926523	0.983396	39
10227.292959	8.364133	8.936540	0.935948	40
10228.298043	8.776114	8.913539	0.984583	41
10229.310364	8.744435	8.928364	0.979400	42
10230.316412	8.776086	8.926036	0.983201	43
10231.331715	8.268519	8.930963	0.925826	44
10232.335086	8.801759	8.907030	0.988181	45
10233.347958	8.490471	8.934691	0.950281	46
10234.355739	8.632988	8.901828	0.969800	47
10235.366377	8.129030	8.926027	0.910711	48
10236.375959	8.219945	8.909144	0.922641	49
10237.383719	7.840301	8.930039	0.877969	50
10238.404526	8.197591	8.923676	0.918634	51
10239.398677	7.942558	8.906161	0.891805	52
10240.409837	7.903061	8.934175	0.884588	53
10241.415744	7.663925	8.942410	0.857031	54
10242.428161	7.783646	8.904404	0.874134	55
10243.431260	8.062119	8.919578	0.903868	56
10244.445875	8.359052	8.924349	0.936657	57
10245.448488	8.418764	8.899811	0.945949	58
10246.464666	8.649718	8.932549	0.968337	59
10247.477148	9.276602	8.947223	1.036813	60
10248.481744	8.958146	8.919900	1.004288	61
10249.486824	9.295292	8.918932	1.042198	62
10250.503421	9.234468	8.899740	1.037611	63
10251.508749	9.174902	8.910058	1.029724	64
10252.520873	9.348397	8.900217	1.050356	65
10253.526507	8.905539	8.906168	0.999929	66
10254.540194	9.216244	8.904510	1.035009	67
